console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,log_sales
PS3,ACTION,Rockstar Games,Rockstar North,9.4,20.32,6.37,0.99,9.85,3.12,3.0596455992976437
PS4,ACTION,Rockstar Games,Rockstar North,9.7,19.39,6.06,0.6,9.71,3.02,3.015044584586364
PS2,ACTION,Rockstar Games,Rockstar North,9.6,16.15,8.41,0.47,5.49,1.78,2.8419981736119486
X360,ACTION,Rockstar Games,Rockstar North,7.5,15.86,9.06,0.06,5.33,1.42,2.8249439525737094
PS4,SHOOTER,Activision,Treyarch,8.1,15.09,6.18,0.41,6.05,2.44,2.7781979610042917
X360,SHOOTER,Activision,Infinity Ward,8.7,14.82,9.07,0.13,4.29,1.33,2.761274962339508
X360,SHOOTER,Activision,Treyarch,8.8,14.74,9.76,0.11,3.73,1.14,2.756205242989257
PS4,ACTION-ADVENTURE,Rockstar Games,Rockstar Games,9.8,13.94,5.26,0.21,6.21,2.26,2.7040421797046714
X360,SHOOTER,Activision,Treyarch,8.4,13.86,8.27,0.07,4.32,1.2,2.698673039289613
PS3,SHOOTER,Activision,Treyarch,8.0,13.8,4.99,0.65,5.88,2.28,2.6946271807700692
X360,SHOOTER,Activision,Infinity Ward,9.5,13.53,8.54,0.08,3.63,1.28,2.6762154775821916
PS4,SHOOTER,Activision,Sledgehammer Games,8.1,13.4,4.67,0.4,6.21,2.12,2.667228206581955
PS3,SHOOTER,Activision,Infinity Ward,8.8,13.35,5.54,0.49,5.78,1.54,2.66374994220563
PS2,ACTION,Rockstar Games,DMA Design,9.5,13.1,6.99,0.3,4.51,1.3,2.6461747973841225
PS3,SHOOTER,Activision,Treyarch,8.7,12.67,6.01,0.48,4.4,1.78,2.6152036507358583
PS4,SPORTS,EA Sports,EA Vancouver,8.3,11.8,1.27,0.15,8.64,1.73,2.5494451709255714
X360,ACTION,Rockstar Games,Rockstar North,10.0,11.09,6.8,0.14,3.11,1.04,2.492378664626701
PS4,SPORTS,Electronic Arts,EA Canada,8.9,10.94,1.26,0.12,7.95,1.61,2.479894107964456
PS3,SHOOTER,Activision,Infinity Ward,9.5,10.61,4.99,0.38,3.66,1.59,2.4518667957098
