console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,total_sales_outlier,na_sales_outlier,jp_sales_outlier,pal_sales_outlier,other_sales_outlier,sales_cluster,log_sales,total_sales_minmax,na_sales_minmax,jp_sales_minmax,pal_sales_minmax,other_sales_minmax,critic_score_zscore,release_year,release_year_bin,na_ratio,jp_ratio,pal_ratio,other_ratio,has_regional_data,publisher_game_count,developer_game_count
PS3,ACTION,UBISOFT,UBISOFT BUCHAREST,7.5,0.41,0.21,0.03,0.12,0.05,2010-09-07,0,0,0,0,0,0,0.3435897043900769,0.024783147459727387,0.02151639344262295,0.014084507042253521,0.017467248908296942,0.02032520325203252,0.12180651366298145,2010.0,era_4,0.5121951219512195,0.07317073170731707,0.2926829268292683,0.12195121951219513,1,483,1
DS,ACTION,UBISOFT,UBISOFT MONTREAL,7.3,0.31,0.25,0.0,0.03,0.02,2005-05-04,0,0,0,0,0,2,0.27002713721306015,0.018587360594795543,0.025614754098360656,0.0,0.004366812227074236,0.008130081300813007,-0.17427649340381893,2005.0,era_2,0.8064516129032259,0.0,0.0967741935483871,0.06451612903225806,1,483,87
WII,ACTION,ACTIVISION,MTO,7.5,0.67,0.59,0.0,0.03,0.05,2009-10-20,0,1,0,0,0,0,0.5128236264286639,0.04089219330855019,0.060450819672131145,0.0,0.004366812227074236,0.02032520325203252,0.12180651366298145,2009.0,era_3,0.880597014925373,0.0,0.04477611940298507,0.07462686567164178,1,501,16
PSV,ACTION,IDEA FACTORY,UNKNOWN,7.5,0.02,0.0,0.02,0.0,0.0,2016-09-01,0,0,0,0,0,0,0.019802627296179712,0.0006195786864931847,0.0,0.009389671361502348,0.0,0.0,0.12180651366298145,2016.0,era_5,0.0,1.0,0.0,0.0,1,90,191
PS2,ACTION,NAMCO,SCEE CAMBRIDGE,7.5,0.09,0.04,0.0,0.03,0.01,2004-08-17,0,0,0,0,0,0,0.08617769624105233,0.004956629491945478,0.004098360655737705,0.0,0.004366812227074236,0.004065040650406504,0.12180651366298145,2004.0,era_2,0.4444444444444445,0.0,0.3333333333333333,0.11111111111111112,1,89,3
PS,ACTION,LUCASARTS,LUCASARTS,7.5,1.21,0.66,0.01,0.48,0.06,2000-03-31,1,1,0,1,0,0,0.7929925155296614,0.07434944237918216,0.06762295081967214,0.004694835680751174,0.06986899563318777,0.024390243902439022,0.12180651366298145,2000.0,era_1,0.5454545454545455,0.008264462809917356,0.39669421487603307,0.049586776859504134,1,72,15
GBA,ACTION,THQ,CLIMAX GROUP,7.5,0.43,0.31,0.0,0.12,0.01,2005-10-27,0,0,0,0,0,2,0.35767444427181594,0.02602230483271376,0.031762295081967214,0.0,0.017467248908296942,0.004065040650406504,0.12180651366298145,2005.0,era_2,0.7209302325581396,0.0,0.27906976744186046,0.023255813953488372,1,350,30
PS,ACTION,ACTIVISION,DREAMWORKS INTERACTIVE,7.5,0.15,0.08,0.0,0.06,0.01,1999-02-28,0,0,0,0,0,0,0.1397619423751587,0.008674101610904586,0.00819672131147541,0.0,0.008733624454148471,0.004065040650406504,0.12180651366298145,1999.0,era_1,0.5333333333333333,0.0,0.4,0.06666666666666667,1,501,2
3DS,ACTION,CAPCOM,FROM SOFTWARE,7.5,0.15,0.0,0.15,0.0,0.0,2015-09-10,0,0,1,0,0,2,0.1397619423751587,0.008674101610904586,0.0,0.07042253521126761,0.0,0.0,0.12180651366298145,2015.0,era_5,0.0,1.0,0.0,0.0,1,219,38
WII,ACTION,MARVELOUS INTERACTIVE,MARVELOUS INTERACTIVE,7.5,0.01,0.0,0.01,0.0,0.0,2008-11-20,0,0,0,0,0,0,0.009950330853168083,0.0,0.0,0.004694835680751174,0.0,0.0,0.12180651366298145,2008.0,era_3,0.0,1.0,0.0,0.0,1,20,28
